别挂科
哲学要不停地看书，喜欢嘛，特别是看到那些外国英文版的。。。
绿色计数君施工~伸手*1
别选建筑
千万不要报江西科技学院
别 选 机 械
来同济医学院
老师。。。开磨皮了？
欢迎来郸城一高复读！
湘潭大学法学专业欢迎你（小众高质
欢迎报考南开大学
法师资格考试
谢谢老师
伸手*2
能不能别发底部弹幕啊
南开大学欢迎您
欢迎大家报考生物，21世纪是生命科学的世纪
张三被抛弃了
谁都得选浙江大学
选广外，不后悔!
伸手*3
欢迎nm秀什么优越感，影像观看
十二怒汉
明年就要高考了
老师好
emiya
十二怒汉
能不能别发底部弹幕
为什么这里也有兵长无悔的选择啊
伸手*5
欢迎报考浙江大学~~~~~~
建议学计算机电子相关的
西湖大学！
一了百了咯
千万别学计算机
欢迎报考华北电力大学
真的。。。。
哈尔滨工业大学欢迎您！
伸手*6
懂了 罗老师更推荐哲学！
刑辩绿植
伸手*7
谢谢老师
欢迎报考家里蹲大学
法大我是考不上了
对的，后悔过
伸手*8
西北政法‘
吹爆
机械类十分吃香
我看过！！
安徽大学欢迎大家
广外很好的!
伸手*9
教育学哭了
别报江西科技学院
欢迎报考湘潭大学
不念书了 好累啊
教父 系列主演，阿尔.帕西诺
伸手*10
欢迎报考重庆大学
弹幕中的大学都不错，可是......本人考不上啊！
机械了解一下，毕业会修拖拉机
欢迎来武汉大学～
伸手*11
每个学科想学好都学很多东西
伸手*12
我看过
欢迎报考吉林大学
术业有专攻，以后当术士
歹歹的
哈哈哈哈哈哈哈哈哈哈哈我能有什么意见呢
快来学建筑，考研没数学
浙江大学欢迎你
该怎么办呢
那个桂林医学院的等我。
欢迎报考北京大学
欢迎报考霍格沃茨
谢谢老师
伸手*14
来了来了
欢迎报考深圳职业技术学院
就浙
伸手*15
土木的都是魔鬼吧，我也学土木
阿尔帕西诺
行吧溜了
计算机协议看懂了去坐研发吧 哈哈
重庆大学欢迎你
闻香识女人啊啊啊
《圆圈正义》！
谢谢老师
坚持不下来
太对了
谢谢老师
欢迎报考祖安文学院
欢迎报考辽宁大学
千万别选土木
欢迎学妹来学机械
来哈工大学汽修
厚大历史
没背景呀
抬棺
说实话，容易秃头
但是等你学会舞动小手，就不结巴了（）
欢迎报考郑州大学
就是这样的
经典再现
很好很好很好该喝喝
高分子材料欢迎你
还有超高的分数。。。。
谢谢老师
生化环材欢迎各位！
什么叫专业啊？（战术后仰）
十二怒汉我看的是黑白版的
花钱不怎么痛苦
浙江农林大学欢迎你
这世界需要更多英雄
别学计算机！
谢谢老师！！
你好白啊
土木工程，全年无休。。。
欢迎报考哈尔滨佛学院
大佬の发言
老师好
欢迎报考南开大学
欢迎报考红军大学
谢谢老师
欢迎报考合肥工业大学
欢迎报考四川师范大学
欢迎报考安徽大学法学院
欢迎报考南开大学！
就浙？
欢迎报考魔法学院
就业广泛：指拍片
行之有耻
谢谢老师
人在遇见两难的选择时不管选哪个都会后悔，所以只要选择当下最轻松的就好了一一阿库西斯教教义
来学物理拥有罗老师的发际线
这也是个一本书
学法可以选择去当张三
说的好
谢谢老师
徐州医科大学麻醉学院欢迎您
卡塞尔学院欢迎你
别报建筑
欢迎报考合肥工业大学
十八门法律课程，要学法的同学要想清楚了，一点都不比高三生活来的容易，很多法晦涩难懂
欢迎报考家里蹲大学
南京林业大学欢迎您
字幕错了，应为“不齿”
谢谢老师
辩护人强推！
欢迎报考合肥工业大学
"System.out.println(''别学计算机 "")"
经典的探戈
西安外国语大学欢迎你
劝人学医 天打雷劈 劝人学法 千刀万剐 我劝大家学法医[doge][doge][doge]
谢谢老师
吉林大学
别报江西科技学院 千万千万
欢迎报考合肥工业大学
欢迎报考通灵学院
欢迎报考华中科技大学
别学机械，机械考研都转法学了
好的
额……
谢谢老师！！
谢谢老师
浙江大学
学完之后啊，你就变成了一名法师
欢迎报考合肥工业大学
不欢迎报考南京农业大学
与马督工有异曲同工之妙
欢迎报考南昌大学
欢迎报考广东技术师范大学
劝人学法千刀万剐
大师，我悟了
别学语言
欢迎报考史莱克学院，从这里毕业后你会发现人生为何如此简单
赞
比如人人都知道他辍学还成功了，但没人知道他辍的是哈佛大学
北方工业大学欢迎你。
46848498
欢迎报考徐州医科大学
唯有法学可以！
劝人学医天打雷劈
红白玫瑰？
谢谢老师
欢迎报考四川大学
北京科技大学欢迎你
欢迎报考兰州大学
谢谢老师
但是我能有什么意见呢
土木欢迎你
西南政法大学欢迎你
法师，奶妈，前排
蓝翔
张三姓顾名城？
除你武器！
服了，哈利波特粉丝能不能别刷了，烦死了
哪儿来的早知道
不报浙江大学是真的蠢
哈哈哈哈哈哈哈
欢迎报考安徽大学
派克
南京农业大学欢迎你
欢迎报考华南农业大学
哈哈哈哈哈哈哈哈哈
环材化生的
我愿意
这就叫专业
辩护人
麻省理工欢迎你
欢迎报考霍格沃兹学院斯莱特林分院 学姐欢迎你呀
欢迎报考华南农业大学
哈哈哈哈哈哈哈哈哈哈
学计算机好痛苦
十二怒汉
辩方律师
欢迎报考中国社科院大学
太真实了
阿瓦拉啃大瓜
土木不广泛，工地欢迎你
欢迎报考华南农业大学
厚     大     哲    学
欢迎报考南方医科大学！
欢迎报考华南农业大学
谢谢老师
光明打钱
报上财
卢武铉
圣·马家沟男子学院欢迎您
欢迎报考郑州大学
加里敦大学欢迎你（狗头）
吾辈之目的，乃在于建设人类世界
欢迎报考加州大学伯克利分校
学医确实好就业
是因为开始拉手风琴了
土木工程欢迎您
欢迎报考河南大学
羡慕高考的学弟们
就剩下抬棺了
欢迎报考外交学院
kolo迪欧哒
成步堂：法庭的黑暗时代
别被一些所谓的鸡汤骗了！！！
谢谢老师
欢迎报考上海工程技术大学
哈哈哈哈
中国石油大学华东欢迎你
欢迎报考四川农业大学
欢迎大家报考蓝翔技工学校挖掘机专业
哈利波特粉丝们别刷了，太烦了
谢谢老师
中国海洋大学欢迎您
来学医
专业团队
欢迎报考四川农业大学
前部分总结：投个好胎
对
数学呢
一本学计算机医学比法学痛苦多了，三本专科最轻松
没错
欢迎报考西南政法大学
欢迎报考哈尔滨佛学院
欢迎大家报考东南大学
厚大哲学
浙大牛逼
东南大学欢迎你们
千万别报长沙理工大学
legal high的，这部片子可不能作为范本，不然分分钟受挫
法师          牧师          祭师
Professional
专业
专业
东南大学欢迎你
西南政法
欢迎报考霍格沃茨魔法学院
欢迎报考中国社会科学院大学！
西南政法欢迎
欢迎报考湖南师范大学
牧法战
每年都会看见学长学姐说千万不要来hhh
欢迎来到霍格沃斯
专业人士
浙大
劝人学法头发会掉完
懂了，立刻报神学
浙大留校察看警告
西政呀
谢谢老师：
对的
法医可以哈哈
千万别学医，不要以为社会上的劝人学医天打雷劈是说着玩的
"""""""""L""""l"""""""
欢迎报考上海大学
罗翔老师好
弹幕真的要窒息了 能不能别刷了
比医学如何？
佛学最轻松，哈佛欢迎您
哈哈哈哈哈哈哈哈哈
哈尔滨佛学院
西南政法
法医双倍专业
欢迎大家学数媒
弹幕呢？？
欢迎报考西南石油大学
东南大学欢迎你
我默默
学医吧 真的 去学医吧 朋友们
欢迎报考法大呀！
欢迎报考湘潭大学法学院
抬棺
专业
虽不能至  心向往之
前面的忍者是送信的，直接说邮差不就得了
谢谢老师
谢谢罗老师
我去写了！
谢谢老师
学设计啊，能坑一个是一个
来zhe大，就算是张三也能毕业
昨天不在，明天太晚，全心过今天
河南大学也要有排面！
综合一下学法医
浙奸大学
生化环材，怕死别来
啊就浙？
财大NB！
要不是父母，我可能就没机会迫害张三了
福州大学欢迎你
志愿好难选
罗老师本科好像是中青政的
欢迎报考北华大学
学挖掘机吧
浙奸大学
欢迎报考北京航空航天大学
欢迎报考浙江大学
生化环材欢迎你来
玩过游戏。狗头
想当法师doge
欢迎报考南通大学
专          业
想死就学法学
我悟了，马上去看材料科学基础
疯狂cue顾城
专业
欢迎大家来工地干活
这是磨皮了吗？
不要学机械
家里蹲大学床上系
欢迎报考格兰芬多学院
工程专业欢迎你们
福建农林大学欢迎你
辨证唯物主义
我悟了
欢迎报考湘潭大学法学
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
南京理工欢迎你
看过！
欢迎报考斯莱特林学院
确实，法学毕业后在法院干了两年，有黑暗，也有光明。
"……""""""""………….."
浙江大学还有你
啊，浙。。。
好的这就去
早知道不活了，活着这么累？(doge
欢迎报考赫奇帕奇学院
""""""""""""""""""""""""
华政牌面
别来黑龙江大学
三杀了
下是生化环材机械土木农林
做好护发养发的准备
这句话再放送
懂了，学法治结巴，啊吧啊吧
法医的牛皮
医学生来了
懂了，这就报神学
建议直接看小说
别学金融
中南财大等等我
欢迎报考拉文克劳学院
老师你要知道懂的都懂，不懂的不想去懂的会一直这样下去坏人就这样来的
文学院！永远滴神！
…
召唤师学院等着你
西北政法
墨菲定律
专业
真不错 感觉真不错
谢谢老师
听得出来
计数君辛苦了
《打不过就加入》
自杀？
"………""………""…""………………………………""""""""""""…l""""""…""…….…""""l""llll…""""""""""""""""""""""…………………………………""…""""……………"""""""""
调剂的就可以后悔了是吧
希波克拉底誓言
流浪地球也是
哈哈哈哈
我的区长父亲
欢迎报考浙江强健大学
看过！
厉害
临沂大学欢迎你们
老师一定能对这件事记忆深刻
山大学外语也不错
工科课程设计真得非常好玩
nb
大师我悟了
真香
下辈子一定！！！
好看   真的好看
谢谢老师
谢谢老师
歪比巴卜
"""¿¿¿""¿""""""""""""""""¿¿¿"
劝人学法，千刀万剐。
生化环材四大天王机械土木两大护法
临沂大学欢迎大家
我一个土木专业硕士刚毕业看这个干啥
6
谢谢老师
老师好
谢谢老师
看了
汽美后悔吗？
所以“三顾茅庐”
蚊香为什么能识女人
临沂大学欢迎大家
一起种地
哈尔滨佛学院  毕业分配寺庙  终身不用理头钱
那个时候还有头发
别学会计
欢迎报考广州美术学院
东北话就是带味er的普通话，随意普通话考试对于东北真的很难，有时候根本注意不到自己说的是不是普通话和东北话
西安科技大学
天津师范大学欢迎你
一定会后悔哈哈哈哈
我怕秃头其实
真香
欢迎报考清华大学
必须要有一个巫妖王
福州大学欢迎您
欢迎报考广轻工职业技术学院
法师好
欢迎报考吉林大学
力量本身并不可怕，可怕的是她3/6会吸血的水人
专业们把公屏打在兄弟上
欢迎报考哈工程
那是专业团队
欢迎报考中国政法大学
欢迎报考广轻工职业技术学院
哈哈哈
一周一篇SCI，哭了
真的，有理想有耐心的，建议去学考古，专业好，而且不怕其他人有名校光环，只要能待下去都能发展起来
兄弟们  法师好走一波
记得三连啊
老师 我悟了！我有信心了！
欢迎报考吉林大学
欢迎报考东北林业大学
欢迎报考青岛农业大学
哈哈哈
高考考了369分 既然考完了 我也不后悔了
谢谢老师
欢迎报考东北农业大学
明天又是新的一天——《飘》
劝人学法，千刀万剐
普罗菲雪
学完之后你就忘记了
月和L
真实
欢迎报考黑龙江大学！
对外经济贸易大学欢迎你
谢谢老师
欢迎报考清华大学
对
对外经济贸易大学欢迎你
欢迎报考魔法师专业
欢迎报考东北大学！
你对任何专业的喜欢都是源于你对这个专业的不了解
生物无敌，21世纪是生物的时代，，冲冲冲（狗头）
欢迎报考同济大学！！！！
practice！
大专生哭了
现在还来得及
没有人推荐中山大学吗
对外经济贸易大学欢迎你
玄宗学院欢迎报考，一起斩妖除魔
欢迎报考延边大学！
后悔啊，垃圾数学
"Yesterday is history,tomorrow is a mystery,but today is a gift."
喜欢大自然吗？那就来学农吧
法王来辣
对外经济贸易大学欢迎你
欢迎报考吉林大学！
千万别报福州大学
浙大欢迎你（狗头）
欢迎报考郑州大学
欢迎报考河南师范大学
自从破解了手势以后妈妈再也不用担心我结巴了
我全部看过了
英语发音很棒
欢迎报考大连理工大学
深圳职业技术学院
生化环材哭了
清华大学欢迎你
罗老师脸颊还冒着绿光
法医双倍专业的笑死我
欢迎报考东北财经大学
中国还真有神学院，还是本科学历(▼皿▼#)，不过人家每年一个学校就招1-2个人
律师各种出差
我用家乡话有些字老是卡到舌头的感觉
欢迎报考浙江工业大学
明白了这就去写
专业
欢迎报考东北电力大学
谢谢老师
结合。
老术士了
不敢当
手风琴
谢谢老师
欢迎报考深圳职业技术学院
内江师范学院欢迎报考
欢迎报考中国政法大学
欢迎报考长春理工大学
我是真想读法律
水治？水蛭？
亲戚学法律结果现在开彩票店......
艾利斯顿商学院我来了
大家都来学哲学
青岛理工大学
不要学结合
一定会后悔，但后悔没用
dio
青岛理工大学
劝人学法，____。劝人学医，____。
欢迎报考电子科技大学
说公知那个能不能滚出去
皇家理工 青岛理工大学
成都体育学院体医结合很好哟
欢迎报考哈尔滨理工大学
学会计会头秃大家谨慎
华北理工大学
皇家理工 青岛理工大学
专业选得好，年年似高考
伸手*26
福建农林大学经济学院欢迎你
罗老师这手的动作像是在拉手风琴
当法医那个陈独秀你给我做下！doge
专业搬砖
手真的一直在动哈哈哈哈
我普通话不好能学吗
原来读 bei
谢谢老师
欢迎报考中国地质大学（武汉）
佛掌怎么不见了？
天呐，最爱的书
欢迎报考燕山大学
别选会计和土木，未来可能生物方面会更好
中国美术学院欢迎您
这是对的！
二倍速好评！
类部类
法师，战士
法学生来报道
？？？
中南财经政法大学冲吖吖吖吖！！！！
哈哈哈哈哈
推荐这两部，看了好几遍。
中国矿业大学！！！！！！！
我生物学子活跃在社会的各个角落！！
谢谢老师
学机械，学硬件
别选地质，你会后悔一辈子
谢谢老师！
弹幕注意，选的是专业
真香
给这个视频投币合不合适？合适的不得了！
土木？？
欢迎学工商管理
欢迎报考苏州科技大学
劝人学法，（    ）
哈哈哈哈哈哈哈哈
劝人学医，天打雷劈
前方屏蔽 欢迎报考 和 欢迎你
农学瑟瑟发抖
选中国矿业大学地质工程去干煤矿啊
青岛理工大学
心理测量者！
我知道了，你表面上是法学老师，其实你是哲学老师
劝人学医，天打雷劈。劝人学法，千刀万剐。
报机械
军事还真不算，古代征兵不是竟然不足就直接征兆青年吗
前方屏蔽 报考 和 欢迎你
青岛理工大学欢迎你
机械好
生化狗每天一后悔
化学
好
基努里维斯
欢迎报考广东医科大学
福建师范大学路过
谢谢老师
不要学电气！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
欢迎报考宾夕法尼亚大学
我也是
老师说着说着又开始哲学了
新老师都这样，紧张
欢迎报考河海大学
欢迎报考广州商学院
别来材料打铁
欢迎报考黄埔军校
芜湖航空航天大学欢迎你
阿尔帕斯诺
建议学数学
公大。。。
wdnmd
泪目
青岛理工大学欢迎你
欢迎大家报考天津商业大学
谢谢老师
劝人学法，千刀万剐
霍格沃兹欢迎你
【虽不能至，心向往之】
劝人学法，千刀万剐
r1se？？？
劝人学法，千刀万剐
青岛理工大学欢迎你
家里有矿可以读哲学
请不要报考中山大学
看过看过
800w粉
欢迎报考霍格沃茨魔法学校
报材料1!!
昨天已成为过去，明天尚未可知，只有今天是天赐的礼物。
卧槽
欢迎报考青理
杭师大欢迎你！
报中国政法
兽医学
欢迎报考郯城电大
材料成型及控制工程欢迎你！！！
工商也教法律，兄嘚
老师好
欢迎报考霍格沃兹魔法学院
《虽不能至，心向往之》
皇家理工青理
浙大欢迎你
小作文写起来
欢迎报考汕头大学
谢谢老师
四川大学欢迎你
皇家理工青岛理工
阿里嘎多
这手真的是没停过
老师好
医法专业
谢谢老师
辩护人！！以谁为原型大家总知道吧(暗示)
来圣芙蕾雅学院吧！
欢迎报考医学
阿尔帕西诺
千万别来辽传
劝人学法天打雷劈
欢迎报考厚大教育
那么，代价是什么呢，罗老师？
不要学新闻
北京第二外国语学院中瑞酒店管理学院。
浙江大学欢迎你
辛苦计数君了
就浙
看过
今天跌爆了！！
弹幕一直说不要学这不要学那，到底有没有听课？什么都不学你回家睡觉算了。
懂了 这就去报考哲学系
我去，今天才知道
浙     大
欢迎报考武汉大学！
专业！
老师，我悟了，这就去转专业
好
欢迎报考中国矿业大学
手停下来就没这么流利了
谢谢老师
哈尔滨大学
xie xie lao shi
对
下边绿字瞩目
一开口就是老折中说了
亚里士多德
欢迎报考武汉轻工大学
CCUT欢迎你
浙江大学欢迎你
当你凝视深渊的时候，深渊正在结算
欢迎南京财经大学
丧失人性
西北工业大学
欢迎来到祖安
别说了老师 报的人越来越多了 就因为您措不及防的火了
折中
北京航空航天大学
劝人学法，千刀万剐
江西财经大学！？？
欢迎报考南京审计大学
财大NB
学法术，当法师不香么
欢迎报考家里蹲大学！
别发底端弹幕！ 谢谢你们！
谢谢老师
谢谢老师
present有两种意思还不通念法
谢谢老师
专业选的好，高三不间断
谢谢老师
老师我悟了
辩护人，真的太深刻了
太真实了
中南财经政法大学欢迎你
华北理工大学欢迎你
哲学牛逼
Present重音在前面是礼物的意思，重音在后面是现在的意思，C罗双关秒哇！
北交大！北交威！！
厚大哲学系欢迎大家
江西财经大学！！
欢迎报考曹妃甸职业技术学院
劝人学法
可以后悔，但选择了就不要放弃
？？？？？
法医那个，三四再三思
医学生表示专业选的好，年年期末是高考
三阳开泰
欢迎报考烟台大学法学专业
吉林大学珠海学院欢迎你
工科是真的卷
谢谢老师
东北人没烦恼
底端弹幕有病？
抬棺专业团队
？？？？？？？
谢谢老师，下辈子一定
家里蹲大学
來學金融吧，公司女士都很漂亮喔
秃头
谢谢老师
欢迎报考天津大学
又是杀妻
不要来安医大宝贝们
战争学院欢迎各位
有谁想考中国政法大学
马云也是一样的
兰州大学欢迎你
我的天哪这是魔鬼老公
武汉大学欢迎你
劝人学法，千刀万剐
有什么不痛苦呢
看似悖论的悖论是不是悖论
欢迎报考广州医科大学儿科学
法医
欢迎报考南京大学！
欢迎报考河南农业大学
湖南师范大学欢迎你
顾城（1/1）
前面给排水的别走，带我一个
我擦 这个厉害呀
不是 错了错了我错了C罗也错了 重音在后面是个动词…
我不会！千万不要学医啊！！！
啊啊啊啊啊啊啊啊啊啊
欢迎来到圣芙蕾雅学园
《早知道》
北京理工大学
欢迎报考中国科学技术大学
阿文和卢先生
欢迎报考临床医学
真实
欢迎报考南京大学！
欢迎来学数学
h h h h h h h h h
真实！
福州大学欢迎你
谢谢老师
懂了，这就去选人工智能
谢谢老师
也没有这个选项啊
哈哈哈哈哈哈哈哈哈
都没看过
谢谢老师
欢迎报考哔哩哔哩大学！！！！！
本科专业我觉得也就都那样把 倒也没有觉得太重要
華頓商學院歡迎各位
人才
谢谢老师
法医
生化环材
看过
欢迎报考重庆理工大学
da♂rk同化
哈哈哈
谢谢老师
辽宁石油化工大学了解一下
不会以为理科工科也是好学的那一种吧？？？
欢迎报考福建警(jian)察(yu)学院
动物医学专业欢迎大家！！
别 来 理 科
长江大学男子石油度假村欢迎你们
来西安电子科技大学
？？？
前面给排水的别走，算我一个
辩护人
别学土木之类，建筑经济之类的，夕阳产业，加班是常态
会全部忘记
dark
当不了人就可以不做人了doge
学法律 当UP主？
欢迎报考医学专业
谢谢老师
欢迎报考武汉轻工大学
加里敦大学欢迎你
it is always the husband
武汉科技大学欢迎你
老师  我信了
谢谢老师
哈哈哈哈哈
德里大学
深圳大学欢迎你！
欢迎报考浙江大学！
说别选职业不工作啰干脆，什么职业没弊端
當法師去了，後排輸出，建議選雷系
我要不然去学哲学吧
法学我来了
欢迎报考中山大学
把专业打在公屏上
老师偏爱老帕 我爱
欢迎报考约翰霍普金斯大学
谢谢老师
欢迎报考阜阳师范大学
手风琴拉的不错
厚大哲学实锤
罗稚翔
别学机械
初中开始就想学法了
欢迎报考哔哩哔哩大学！
欢迎报考郑州大学
真别学机械
专业
我悟了！这就去和律师对线
欢迎报考南京大学！
西南大学欢迎你
景德镇陶瓷大学欢迎你
武汉学校太多了！
我要上浙大
老师好
谢谢老师
欢迎报考北京理工大学
李大钊：？
中央民族大学欢迎您
去南大吧南大学风低调朴质挺好的
欢迎报考中国政法大学
我选法师
谢谢老师
我悟了
人《才》
哈哈哈哈哈哈哈哈哈哈哈哈
谢谢老师
不要选会计
欢迎报考西南大学
欢迎报考哈尔滨工程大学
这也不学那也不学，去工地搬砖算了，上什么大学
欢迎报考广轻工，深职院
？？？牛逼
好的老师，我这就选择格兰芬多！
别学机械
基努里维斯
的确
学医啊
哈哈哈哈哈哈哈我也
欢迎报考电子科技大学（只要你是女生，一群男神随便挑）
知道了，這就去學抬棺
法zi
欢迎报考中国农业大学
千金难买早知道
土木你一定不会后悔，真的！
是的
大不自多，海纳江河。浙江大学欢迎理性优秀的你
成都体育学院欢迎您！！！
老师好
中国政法大学欢迎报考
每个明星的诞生都会诞生两个对立的宗教团体
严肃的报考意见，满屏烂梗，没法看
懵了
告诉你一个鬼故事，看进度条
欢迎报考成都的西南交通大学
哈工大排面！
拋瓦人
学俄语
欢迎报考甘肃政法大学！
欢迎合适的同学，报考中国矿业大学
我也是
谢谢老师
中南财大upupup
欢迎报考厦门大学法学院!
欢迎报考甘肃政法大学！
谢谢老师
成年人的世界没有容易二字
你看我现在都会说相声了
哈尔滨佛学院欢迎您
欢迎报考福州大学
前面那个双鸭山的，没有人
欢迎报考哈工大
圣芙蕾雅学院欢迎你
医学生誓词
马督工也是这样说的
机械神教
我想问问高中如何自律，能够管理自己
pro!!!
我悟了大师
仙桃职业技术学院欢迎你
带专都是人上人，欢迎本升专
欢迎报考成都理工大学
浙大为什么不能去
宁波大学看看不？
华南理工大学等你
欢迎报考郑州大学
欢迎报考同济大学
宁波大学看看嘛？
欢迎报考法外狂徒张三学院
西北政法欢迎您
欢迎报考华南农业大学
欢迎报考湘潭大学
别来上师大！！！
谢谢老师
一定有《十二怒汉》
往者不可谏来者犹可追
新皮肤粉红女郎
逐渐忘记标题
谢谢老师
学法挺好的，就是有点头冷。
法师 牧师 祭司
卡塞尔学院欢迎大家！
虽不能至，心向往之
从未怀疑
欢迎报考上海财经大学
？？
欢迎报考南京大学
老师好
千刀万剐！
欢迎报考蓝翔挖掘机学校
专业
欢迎报考太原科技大学
商丘师范学院欢迎你
愿为江水，与君重逢
这就去买蚊香
我也喜欢
欢迎报考中国科技大学法学系！
扬州大学
没有撤退可言！
谢谢老师！
西安理工大学
别选机械
在？监控拆了？
商丘师范学院欢迎你
欢迎报考南京大学
浙大
圣芙蕾雅学院可还行？
谢谢老师
可你是北大的
山东蓝翔
谢谢老师
不好意思，我学的哲学，当代神棍值得拥有
欢迎不报考浙江强身健体学院
达克
谢谢老师
欢迎报考北京理工大学
就浙？
法师
风里雨里  河南理工大学等您
這部超好看
西安理工大学欢迎你
？？？
欢迎报考东北财经大学
黑 暗 之 魂
弹幕别bb了，分够吗？
提桶跑路
大连理工欢迎各位
欢迎报考小学二年级
满城衣冠
欢迎报考华北电力大学
粉嫩
这不巧了 我就是学医的
就浙？
化学专业欢迎你！
成都体育学院欢迎你
浙江大学欢迎你
广告？！
张三
风里雨里 河南理工大学等你
我在麻省理工等着你们
哈哈哈哈哈哈哈哈哈哈哈哈
0 2                                            m
华工冲冲冲
问:使被害人不能反抗、不敢反抗构成什么罪。（doge）
BIT！BIT！BIT！BIT！BIT！BIT！BIT！BIT！
潍坊医学院欢迎你
哈哈哈哈或或或
别选计算机！
霍格沃茨学院欢迎您
。
欢迎报考南开大学
当你凝视深渊的时候，发现它是紫色深渊柱
我会写吐的
都不容易啊
法医双倍快乐。
太真实了，跟医学专业一样
管件不是自己的选择，也没征求我的意见
正义的伙伴卫宫士郎
欢迎学医
路径依赖
老师，我雾了
主要是大多数都做律师而且竞争压力大
欢迎报考吉林大学。
抬棺
哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大哈工大
浙江大学法学院
懂了，这就去选法医
别选动漫专业，谁学谁后悔
你也会拉手风琴啊
我们与恶的距离  强烈推荐台版
谢谢老师
谢谢老师
胜利即是正义
我悟了
劝人学法
谢谢
法师，牧师，祭司
懂了，这就出家
！看过！好看！
厚德明法 格物致公
手风琴大师我笑了
砖业人士
谢谢老师
华中师范大学欢迎你！
阜阳师范大学!
谢谢老师
懂了，这就上山出家
2021法学院等我
不近恶不之善
欢迎浙江大学
土木工程欢迎你，我在工地等你
欢迎报考卡塞尔学院龙族谱系学
阜阳师范大学
谢谢老师
专业团队
欢迎报考中原工学院
专业人士
齐齐哈尔大学
懂了，这就上山出家
战术叉手
欢迎报考同济大学！！！
小手，不安分
中国政法大学！
12怒汉
上海财经大学
欢迎报考中国地质大学武汉
上海电力大学
湖美爱我一次
理想就是不用工作还能全世界旅游
来机自！
谢谢老师
李狗嗨
黑夜给了我黑色的眼睛，最后变成了白内障
坚强大学欢迎你
欢迎报考华中师范大学
给广东财经大学一个排面
我表姐学的法，工作和法律没一点关系
土木夕阳专业别学啊
前天刚看
临沂人表示别去临沂
千万别报延边大学 
弹幕能不能不要挡字幕阿
医学蓝色生死恋
谢谢老师
353230
学营销
生发剂
专业
航大欢迎你
千刀万剐
专业
欢迎报考浙江大学
快逃！
海南大学欢迎你来骂，贪图21名分的来吧
老师好
浙江大学欢迎你
头秃
谢谢老师
欢迎报考左家垅男子职业技术学院
厚大是哪
所以就没人知道唐探那句话是尼采说的吗
止于至善
我是生物转计算机
欢迎报考安徽师范大学
